"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
0.0,54.0,0.0,0.3955075144767761,"â€Angela Merkel (CDU): Unsere Ozeane sind keine MÃ¼llkippe! <font color = red>Frau</font> Merkel stoppen Sie diesen <font color = red>Irrsinn</font>!â€... https://t.co/zNpcawsa5P via @ChangeGER",1.0,0.5389965176582336,"â€Angela Merkel (CDU): Unsere Ozeane sind keine MÃ¼llkippe! <font color = green>Feau</font> Merkel stoppen Sie diesen <font color = green>Iresinn</font>!â€... https://t.co/zNpcawsa5P via @ChangeGER","Successful"
0.0,99.0,0.0,0.026869773864746094,"@<font color = red>BlondJedi</font> @akk <font color = red>Richtig</font> ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘",0.0,0.10525953769683838,"@<font color = red>BlkndJedi</font> @akk <font color = red>Ruchtig</font> ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘","Failed"
0.0,127.0,0.0,0.12233006954193115,"@<font color = red>Ralf64904117</font> Ich <font color = red>auch</font>! <font color = red>NÃ¶nÃ¶nÃ¶</font>! <font color = red>Wenn</font> die <font color = red>Gier</font> <font color = red>grÃ¶ÃŸer</font> ist als der Verstand ! ğŸ¤·â€â™€ï¸",0.0,0.4871770739555359,"@<font color = red>Ral6f4904117</font> Ich <font color = red>aXuch</font>! <font color = red>NÃ¶bÃ¶nÃ¶</font>! <font color = red>Webn</font> die <font color = red>Goer</font> <font color = red>grZÃ¶ÃŸer</font> ist als der Verstand ! ğŸ¤·â€â™€ï¸","Failed"
0.0,83.0,0.0,0.019332408905029297,"<font color = red>https</font>://t.co/<font color = red>Ca5kjVsdyR</font>",0.0,0.023998498916625977,"<font color = red>hjttps</font>://t.co/<font color = red>Ca5kjVsdjR</font>","Failed"
0.0,361.0,0.0,0.16735535860061646,"<font color = red>Posten</font> werden schon vergeben!  Gabriel AuÃŸenminister?Soll mal <font color = red>Vaterschaftsurlaub</font> <font color = red>beantragen</font>!  Ein Ende mit Schrecken,<font color = red>besser</font> als <font color = red>Dauerschrecken</font>",1.0,0.5610937476158142,"<font color = green>Ppsten</font> werden schon vergeben!  Gabriel AuÃŸenminister?Soll mal <font color = green>VaterschafUtsurlaub</font> <font color = green>benatragen</font>!  Ein Ende mit Schrecken,<font color = green>besxer</font> als <font color = green>Dauerschrecuen</font>","Successful"
0.0,85.0,0.0,0.0190812349319458,"@<font color = red>Ralf64904117</font> <font color = red>QualitÃ¤t</font> statt QuantitÃ¤t...",0.0,0.04480355978012085,"@<font color = red>Raof64904117</font> <font color = red>QualiyÃ¤t</font> statt QuantitÃ¤t...","Failed"
0.0,89.0,0.0,0.19156509637832642,"@XYEinzelfall @<font color = red>tantegerd1</font>   Ich schlug ein paarmal zu,Ober u Unter Kieferbruch,<font color = red>sowie</font> zertrÃ¼mmertes Nasenbein!",1.0,0.5116866827011108,"@XYEinzelfall @<font color = green>tantegere1</font>   Ich schlug ein paarmal zu,Ober u Unter Kieferbruch,<font color = green>sowje</font> zertrÃ¼mmertes Nasenbein!","Successful"
0.0,336.0,0.0,0.0804327130317688,"<font color = red>Vietnamesen</font> <font color = red>kamen</font> <font color = red>1975-1979</font> aus der HÃ¶lle des Krieges <font color = red>nach</font> <font color = red>Deutschland</font>. Ohne zu morden u das mit <font color = red>Traumata</font> zu entschuldigen.  #<font color = red>terroranschlag</font>",1.0,0.500322163105011,"<font color = green>Vvietnamesen</font> <font color = green>kaqmen</font> <font color = green>1975-H1979</font> aus der HÃ¶lle des Krieges <font color = green>naxh</font> <font color = green>Deutschlwnd</font>. Ohne zu morden u das mit <font color = green>Traumjata</font> zu entschuldigen.  #<font color = green>terrroanschlag</font>","Successful"
0.0,293.0,0.0,0.033940911293029785,"@<font color = red>Uwe_Junge_MdL</font> @Frank_Pasemann <font color = red>Herr</font> Junge, fÃ¼r eine solche Annahme gibt es schlichtweg <font color = red>keinen</font> <font color = red>Grund</font>. <font color = red>Wenn</font> Sie <font color = red>doch</font> <font color = red>noch</font> <font color = red>einen</font> <font color = red>finden</font> sollten, <font color = red>teilen</font> Sie ihn mir <font color = red>bitte</font> mit.",1.0,0.5445621013641357,"@<font color = green>Uwe_JungeMdL</font> @Frank_Pasemann <font color = green>Her</font> Junge, fÃ¼r eine solche Annahme gibt es schlichtweg <font color = green>kfinen</font> <font color = green>Grknd</font>. <font color = green>Wehn</font> Sie <font color = green>doxh</font> <font color = green>noxh</font> <font color = green>eknen</font> <font color = green>finen</font> sollten, <font color = green>teJilen</font> Sie ihn mir <font color = green>bittte</font> mit.","Successful"
0.0,275.0,0.0,0.11811017990112305,"@BlondJedi @akk <font color = red>Unkontrollierte</font> Masseneinwanderung, daran <font color = red>kann</font> sich d <font color = red>Union</font> <font color = red>nicht</font> mehr erinnern.  Wir haben in d Zeit, doch unser <font color = red>freundliches</font> Gesicht <font color = red>gezeigt</font>, und was wir alles geschafft haben .....",1.0,0.5148658156394958,"@BlondJedi @akk <font color = green>Unkontrlolierte</font> Masseneinwanderung, daran <font color = green>kahnn</font> sich d <font color = green>Unoin</font> <font color = green>nucht</font> mehr erinnern.  Wir haben in d Zeit, doch unser <font color = green>freunrliches</font> Gesicht <font color = green>gezesigt</font>, und was wir alles geschafft haben .....","Successful"
